Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
lavorar de rimessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
liberer di libri a stampa,librer da libri a stampa,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
liberero,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
libraro,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
libraro da libri e carta bianca,librer da libri e da carta bianca,libraio da libri e carta bianca,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
libraro e stampador,librer e stampador,libraio e stampatore,libraio e stampatore,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
libraro in greco,librer da libri in greco,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer da carta bianca,librer da carta bianca,libraio da carta bianca e simili,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer da conti e da carta bianca,librer da conti e da carta bianca,libraio da carta bianca e simili,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer da conti e da carta bianca,librer da conti e da carta bianca,libraio da carta bianca e simili,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer de carta bianca,librer da carta bianca,libraio da carta bianca e simili,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer di libri stampati,librer da libri a stampa,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer e miniador,librer e miniador,libraio e miniatore,libraio e miniatore,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer e stampador,librer e stampador,libraio e stampatore,libraio e stampatore,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
librer et stampador,librer e stampador,libraio e stampatore,libraio e stampatore,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
ligador de libri,ligador da libri,rilegatore di libri,rilegatore di libri,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
ligar libri,ligador da libri,rilegatore di libri,rilegatore di libri,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
liuter,liuter,liutaio,liutaio,musica,altri servizi,servizi,
liutier,liuter,liutaio,liutaio,musica,altri servizi,servizi,
macinator de colori,arte dei colori,macinatore di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
madoner,madoner,madonnaio,madonnaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
