Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14871810;|||;eng;;;GISBORNE, William.;;The Colony of New Zealand. Its history, vicissitudes and progress. [electronic resource];;London : Petherick & Co., 1888.;;;;;lsidyv370eb179;story;Prose;lsidyv370eb179
14822905;|||;eng;;;BROWNE, John Cave.;;Sutton Valence & East Sutton, their early history. [With plates.] [electronic resource];;Maidstone : Printed for the Author, 1898.;;;;;lsidyv301c4795;story;Prose;lsidyv301c4795
14827953;|||;eng;;;RAINE, John.;;The History and Antiquities of the Parish of Blyth, in the counties of Nottingham and York, comprising accounts of the monastery, hospital, chapels ... together with biographical notices of Roger Mowbray ..., with introduction, notes, and appendix of documents. [electronic resource];;[London], 1860.;;;;;lsidyv2b5bfaf8;story;Prose;lsidyv2b5bfaf8
15106184;|||;eng;;;Parkman, Francis, 1823-1893.;;[History of the Conspiracy of Pontiac, and the war of the North American tribes against the English Colonies after the conquest of Canada. [With introductory chapters. 1608-1769.]] [electronic resource];Sixth edition, revised, with additions.;Boston [Mass.], 1870.;;;;;lsidyv3890f50c -- lsidyv3890fe8d;story;Prose;lsidyv3890f50c
14784791;|||;eng;;;QUIN, Windham Thomas Wyndham, 4th Earl of Dunraven.;;The Soudan: its history, geography, and characteristics ... A lecture delivered ... February 19th, 1884. [electronic resource];;London : Simpkin, Marshall & Co., [1884];;;;;lsidyv3c5ebd56;story;Prose;lsidyv3c5ebd56
15178172;|||;eng;;;Gaspey, Thomas, 1788-1871.;;"The History of England under the reign of George III., George IV., William IV. and Queen Victoria (to ... 1852; by T. G. Continued, to ... 1859 ... by H. Tyrrell). [electronic resource]";;"London ; New York, [1855-59]";;;TYRRELL, Henry, Teacher of Elocution.;;lsidyv2ae9c095;story;Prose;lsidyv2ae9c095
15111131;|||;eng;;;A'BECKETT, Gilbert Abbott.;;The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech. [electronic resource];;London : Punch Office, 1847, 48 [1846-48];;;LEECH, John, Artist.;;lsidyv38b27a31;story;Prose;lsidyv38b27a31
15177958;|||;eng;;;ALGIE, James.;;Houses of Glass. A romance. [electronic resource];;Toronto : W. J. Gage & Co., 1899.;;;;;lsidyv2b091bbb;romance;Prose;lsidyv2b091bbb
14756302;|||;eng;;;PAGENSTECHER, G., Dr.;;The Story of West Ham Park. [electronic resource];;Stratford : Wilson & Whitworth, 1895.;;;;;lsidyv3c0c38b6;story;Prose;lsidyv3c0c38b6
14880076;|||;eng;;;Napier, William Francis Patrick, 1785-1860.;;"A Narrative of the Peninsular Campaign, 1807-1814. ... Abridged from The History of the War in the Peninsula"" by ... Sir W. F. P. Napier ... By W. T. Dobson, etc. [electronic resource]""";;London : Bickers & Son, 1889.;;;DOBSON, William T.;;lsidyv32c68449;story;Prose;lsidyv32c68449
14832088;|||;eng;;;WHYMPER, Frederick.;;The Sea: its stirring story of adventure, peril & heroism. [electronic resource];;London : Cassell & Co., [1882-85.].;;;;;lsidyv39118be1 -- lsidyv38f89e87;story;Prose;lsidyv39118be1
14867288;|||;eng;;;;;Mob Rule: a satire for the times. By an unpopular preacher. [In verse.] [electronic resource];;London : W. Ridgway, 1888.;;;;;lsidyv36b293cc;satire;Prose;lsidyv36b293cc
14828081;|||;eng;;;REANEY, Isabel, Mrs.;;Gladys' Vow. A story of to-day, etc. [electronic resource];;London : J. Clarke & Co., 1892.;;;;;lsidyv38e679af;story;Prose;lsidyv38e679af
